Chr Start End Gene
11 13921447 13924863 LINC02683
11 13962723 14268133 SPON1
11 14457512 14499811 COPB1
11 14504876 14643662 PSMA1
11 14966668 14972351 CALCA
11 15073593 15078637 CALCB
11 15552773 15705372 LINC02751
11 15910933 15924416 LINC02682
11 15966449 16738477 SOX6
11 15969533 15969621 MIR6073
11 16925938 16926022 SNORD147
11 17074388 17077667 RPS13
11 17074653 17074744 SNORD14A
11 17075778 17075868 SNORD14B
11 17385248 17389346 KCNJ11
11 17392498 17476845 ABCC8
11 17547259 17646044 OTOG
11 17695267 17696939 LINC02729
11 17719571 17722136 MYOD1
11 17788048 18013047 SERGEF
11 18017555 18046269 TPH1
11 18080292 18106082 SAAL1
11 18120955 18138488 MRGPRX3
11 18172837 18174280 MRGPRX4
11 18231355 18248668 SAA2-SAA4
11 18231355 18236802 SAA4
11 18238236 18248668 SAA2
11 18266264 18269967 SAA1
11 18387787 18387860 MIR3159
11 18394563 18408425 LDHA
11 18529609 18588734 UEVLD
11 18599789 18609874 MISFA
11 18606403 18634342 SPTY2D1
11 18698779 18704785 TMEM86A
11 18706481 18741887 IGSF22-AS1
11 18933499 18939414 MRGPRX1
11 19054455 19060717 MRGPRX2
11 19182030 19201983 CSRP3
11 19196713 19313258 CSRP3-AS1
11 19502672 19507229 NAV2-AS5
11 19510893 19524078 NAV2-AS4
11 19575310 19575372 MIR4486
11 19710934 19714672 LEISA1
11 19760004 19760083 MIR4694
11 19978699 19981374 NAV2-AS3
11 20043775 20049303 NAV2-AS2
11 20156155 20160475 DBX1
11 20363714 20383782 HTATIP2
11 20669551 21575686 NELL1
11 22283730 22338222 SLC17A6-DT
11 22338381 22379503 SLC17A6
11 22445672 22492019 LINC01495
11 22622533 22625823 FANCF
11 22818927 22829801 SVIP
11 22829414 23205797 LINC02718
11 23419105 23419190 MIR8054
11 24257067 24267349 LINC02686
11 25453600 25924451 LINC02699
11 26285585 26288007 ANO3-AS1
11 26559032 26572263 MUC15
11 26994112 26997087 FIBIN
11 27047186 27220113 BBOX1-AS1
11 27338512 27363215 CCDC34
11 27365961 27472790 LGR4
11 27471731 27482433 LGR4-AS1
11 27494418 27506769 LIN7C
11 27506852 27698171 BDNF-AS
11 27514970 27515047 MIR8087
11 27617626 27634627 LINC00678
11 27654893 27722030 BDNF
11 28056815 28056910 MIR610
11 28477481 28477548 MIR8068
11 28902237 29064322 LINC02742
11 29335878 29594350 LINC02755
11 29594413 29630676 LINC02546
11 29980120 29982393 LINC01616
11 30009730 30017030 KCNA4
11 30042970 30322946 ARL14EP-DT
11 30231014 30235194 FSHB
11 30584150 30633328 MPPED2-AS1
11 30686526 30734928 LINC02859
11 31369860 31432835 DNAJC24
11 31509767 31790324 ELP4
11 31789026 31817961 PAX6
11 31816566 31887041 PAX6-AS1
11 31826567 31829303 PAUPAR
11 32035979 32041318 LINC03031
11 32052758 32053321 LOC101928385
11 32091074 32105722 RCN1
11 32143742 32143912 SNORA88
11 32387775 32435539 WT1
11 32435518 32458769 WT1-AS
11 32583831 32606264 EIF3M
11 33015878 33033582 DEPDC7
11 33076150 33079454 LINC00294
11 33084584 33161480 CSTF3
11 33161657 33191598 CSTF3-DT
11 33703010 33736479 CD59
11 33774699 33775670 FBXO3-DT
11 33804768 33805680 LINC02722
11 33814141 33822374 LINC02721
11 34105629 34146908 NAT10
11 34150987 34358010 ABTB2
11 34438934 34472060 CAT
11 34941837 34941920 MIR1343
11 35132650 35138032 CD44-DT
11 35162950 35163010 SNORD164
11 35209618 35215010 CD44-AS1
11 35419057 35421002 SLC1A2-AS2
11 35431827 35530300 PAMR1
11 35618460 35620865 FJX1
11 35944062 36232136 LDLRAD3
11 36010098 36010204 MIR3973
11 36063283 36077901 LOC101928510
11 36272292 36289424 COMMD9
11 36296288 36465204 PRR5L
11 36483769 36510272 TRAF6
11 37938601 37954663 LINC02760
11 38618264 38646356 LINC02759
11 38646476 38687748 LOC105376635
11 38648858 38655249 LINC01493
11 41714568 41836442 LINC01499
11 42001722 42085458 LINC02745
11 42187743 42253690 LINC02740
11 43559656 43559753 MIR670
11 43569306 43570400 MIR670HG
11 43581394 43581483 MIR129-2
11 43880831 43920274 ALKBH3
11 43909289 43920944 ALKBH3-AS1
11 43942637 43943878 C11orf96
11 44260440 44310139 ALX4
11 44604508 44605337 CD82-AS1
11 44973902 44978028 LINC02685
11 45355371 45356657 LINC02696
11 45371397 45388508 LINC02687
11 45691704 45691776 MIR7154
11 45722308 45724555 LOC100507384
11 45750820 45751608 LINC02690
11 45771432 45772358 LINC02716
11 45847118 45883244 CRY2
11 45885651 45906465 MAPK8IP1
11 45906534 45907271 FREY1
11 46171955 46177106 LOC101928894
11 46213824 46219660 LINC02710
11 46254867 46274427 LINC02489
11 46332926 46380554 DGKZ
11 46376402 46376484 MIR4688
11 46380784 46383837 MDK
11 46383789 46391776 CHRM4
11 46396412 46594023 AMBRA1
11 46451805 46451889 MIR3160-1
11 46451807 46451887 MIR3160-2
11 46617553 46674518 ATG13
11 46701031 46705912 ZNF408
11 46719213 46739506 F2
11 46743048 46846280 CKAP5
11 46753125 46753192 MIR5582
11 46762389 46762499 SNORD67
11 46846411 46874416 LRP4-AS1
11 46936689 47164385 CSTPP1
11 47179611 47179737 MIR6745
11 47269188 47330031 MADD
11 47270657 47272110 MADD-AS1
11 47331406 47352702 MYBPC3
11 47354860 47378547 SPI1
11 47381615 47409282 SLC39A13-AS1
11 47400970 47401042 MIR4487
11 47418775 47426439 PSMC3
11 47565599 47573461 PTPMT1
11 47572197 47578970 KBTBD4
11 47579074 47584562 NDUFS3
11 47586651 47589194 FAM180B
11 47659591 47715369 AGBL2
11 47778118 47848544 NUP160
11 48096782 48096858 MIR3161
11 48216810 48217739 OR4B1
11 48245104 48246015 OR4X2
11 48263861 48264778 OR4X1
11 48306223 48307152 OR4S1
11 48324920 48325955 OR4C3
11 48365485 48366465 OR4C5
11 48488793 48489722 OR4A47
11 49028823 49038155 TRIM49B
11 49053714 49059112 TRIM64C
11 49952391 49953419 OR4C13
11 49981473 49982535 OR4C12
11 50298563 50363535 LINC02750
11 54603069 54603998 OR4C46
11 54706832 54707902 OR4A5
11 55262155 55271114 TRIM48
11 55343201 55344187 OR4A16
11 55367974 55368918 OR4A15
11 55554469 55555419 OR4C15
11 55572128 55573060 OR4C16
11 55602360 55607645 OR4C11
11 55635113 55640309 OR4P4
11 55648327 55652854 OR4S2
11 55662201 55666096 OR4C6
11 55723776 55729621 OR5D3P
11 55773438 55774382 OR5D13
11 55795556 55796500 OR5D14
11 55811367 55812476 OR5L1
11 55819630 55820571 OR5D18
11 55827219 55828154 OR5L2
11 55838752 55839738 OR5D16
11 55883297 55891810 TRIM51
11 55913650 55914582 OR5W2
11 55935456 55936400 OR5I1
11 55965755 55969945 OR10AG1
11 55993681 55994625 OR5F1
11 56027654 56038191 OR5AS1
11 56093308 56094240 OR8I2
11 56103687 56107658 OR8H2
11 56122373 56123311 OR8H3
11 56134721 56140201 OR8J3
11 56159394 56160317 OR8K5
11 56176618 56177556 OR5J2
11 56208985 56215222 OR8J2
11 56231282 56234255 OR5T2
11 56252254 56253222 OR5T3
11 56274154 56276819 OR5T1
11 56288462 56292254 OR8H1
11 56315144 56320639 OR8K3
11 56346039 56346998 OR8K1
11 56354291 56361511 OR8J1
11 56375624 56376553 OR8U1
11 56417258 56418232 OR8U3
11 56462469 56463401 OR5M9
11 56469274 56473352 OR5M3
11 56490435 56491370 OR5M8
11 56542340 56543257 OR5M11
11 56576774 56577721 OR5M10
11 56609236 56614874 OR5M1
11 56641489 56642439 OR5AP2
11 56663686 56664618 OR5AR1
11 56699095 56703884 OR9G1
11 56741223 56748697 OR9G4
11 56743873 56743981 MIR6128
11 56848478 56878078 LINC02735
11 56988914 56989843 OR5AK2
11 57181953 57191717 LRRC55
11 57233591 57237250 APLNR
11 57376769 57381150 PRG3
11 57386780 57390650 PRG2
11 57406954 57427580 SLC43A3
11 57460528 57477534 RTN4RL2
11 57537595 57550272 SMTNL1
11 57551662 57567935 UBE2L6
11 57597685 57614848 SERPING1
11 57638376 57652901 MIR130AHG
11 57641198 57641286 MIR130A
11 57657762 57661865 CLP1
11 57703709 57712215 MED19
11 57712523 57819180 TMX2-CTNND1
11 57712593 57740973 TMX2
11 57741491 57743550 SELENOH
11 57761802 57819540 CTNND1
11 58023881 58181616 OR9Q1
11 58030953 58031906 OR6Q1
11 58116742 58125530 OR9I1
11 58189070 58194053 OR9Q2
11 58203204 58204142 OR1S2
11 58212720 58216084 OR1S1
11 58227882 58228918 OR10Q1
11 58266792 58268260 OR10W1
11 58358124 58359069 OR5B17
11 58402464 58406874 OR5B3
11 58421238 58428121 OR5B2
11 58438994 58442236 OR5B12
11 58506807 58508105 OR5B21
11 58579063 58621550 ZFP91
11 58579114 58625733 ZFP91-CNTF
11 58622665 58625733 CNTF
11 58933643 59058452 LOC283194
11 59086307 59094786 GLYATL1B
11 59107237 59127412 FAM111B
11 59133972 59142808 FAM111A-DT
11 59142856 59155039 FAM111A
11 59171430 59208588 DTX4
11 59208510 59212927 MPEG1
11 59358895 59371714 OR5AN1
11 59416969 59426413 OR5A2
11 59436469 59451380 OR5A1
11 59456961 59457905 OR4D6
11 59473315 59479361 OR4D10
11 59503576 59504511 OR4D11
11 59511539 59520703 OR4D9
11 59560298 59566130 LINC02739
11 59574398 59615774 OSBP
11 59595077 59595158 MIR3162
11 59636716 59669037 PATL1
11 59669310 59676041 PATL1-DT
11 59712916 59713845 OR10V1
11 59806140 59810778 MRPL16
11 59852808 59866487 TCN1
11 59878782 59896483 OOSP3
11 59964033 59970343 OOSP4A
11 60017181 60031095 OOSP4B
11 60040409 60048044 OOSP2
11 60209071 60209156 MIR6503
11 60280666 60308970 MS4A4A
11 60327255 60349072 MS4A6E
11 60378532 60395948 MS4A7
11 60396459 60417756 MS4A14
11 60429572 60447792 MS4A5
11 60455847 60470752 MS4A1
11 60615751 60687149 LINC00301
11 60699612 60715807 MS4A8
11 60724720 60745028 MS4A18
11 60841806 60851081 CCDC86-AS1
11 60842113 60851081 CCDC86
11 60850933 60855950 PTGDR2
11 60890547 60906585 PRPF19
11 60906779 60910900 PRPF19-DT
11 60913166 60914063 TMEM109-DT
11 60914158 60923443 TMEM109
11 61028863 61092358 LOC105369325
11 61055391 61067597 LINC02954
11 61093963 61127852 CD5
11 61203515 61213098 PGA3
11 61222347 61231694 PGA4
11 61241175 61251444 PGA5
11 61299451 61333105 DDB1
11 61392587 61398846 TMEM216
11 61430124 61446733 SDHAF2
11 61481120 61490928 SAXO4
11 61496592 61506649 LOC105369329
11 61508596 61508657 MIR4488
11 61508749 61511018 LRRC10B
11 61588494 61607546 LOC101927495
11 61754029 61757664 MYRF-AS1
11 61788949 61792599 TMEM258
11 61792495 61792561 MIR611
11 61792911 61797238 FEN1
11 61815161 61815240 MIR1908
11 61878216 61878278 MIR6746
11 61964285 61967634 FTH1
11 61967294 61968879 LOC399900
11 62049856 62082322 LINC02733
11 62190216 62193539 SCGB1D1
11 62208673 62213943 SCGB2A1
11 62242239 62244812 SCGB1D2
11 62296281 62299075 SCGB1D4
11 62419033 62423195 SCGB1A1
11 62559596 62573891 EEF1G
11 62567011 62567071 MIR6747
11 62575052 62591523 TUT1
11 62593214 62601865 MTA2
11 62613257 62615116 ROM1
11 62646848 62653302 INTS5
11 62662817 62672267 LBHD1
11 62662817 62665216 C11orf98
11 62665422 62665570 SNORA57
11 62671673 62673686 UQCC3
11 62686406 62689530 LRRN4CL
11 62690262 62727384 HNRNPUL2-BSCL2
11 62690262 62709537 BSCL2
11 62712630 62727457 HNRNPUL2
11 62750963 62754160 ZBTB3
11 62761580 62766710 POLR2G
11 62787402 62790400 TMEM179B
11 62789815 62789885 MIR6748
11 62792702 62792771 MIR6514
11 62832234 62834043 STX5-DT
11 62832321 62832841 TEX54
11 62832905 62841809 WDR74
11 62851978 62855885 SNHG1
11 62852910 62853035 SNORD22
11 62853326 62853393 SNORD31
11 62853663 62853732 SNORD30
11 62853904 62853968 SNORD29
11 62854621 62854695 SNORD28
11 62855012 62855083 SNORD27
11 62855292 62855366 SNORD26
11 62855565 62855631 SNORD25
11 62856109 62888860 SLC3A2
11 63079940 63144221 SLC22A24
11 63536808 63546458 PLAAT4
11 63839110 63911020 MARK2
11 63974620 63976543 COX8A
11 63986438 63998412 OTUB1
11 64185272 64204543 STIP1
11 64234584 64239264 VEGFB
11 64241095 64244135 FKBP2
11 64241095 64244132 LOC114841035
11 64244479 64246943 PPP1R14B
11 64245866 64248214 PPP1R14B-AS1
11 64269828 64284704 BAD
11 64291302 64300031 KCNK4
11 64291722 64304769 KCNK4-CATSPERZ
11 64300358 64304770 CATSPERZ
11 64318121 64321811 PRDX5
11 64325050 64340792 LOC102723878
11 64340204 64357534 CCDC88B
11 64341849 64341904 MIR7155
11 64368602 64368703 MIR1237
11 64449057 64451657 LINC02724
11 64606174 64723197 NRXN2
11 64746389 64760715 PYGM
11 64784918 64803214 MAP4K2
11 64851642 64879693 EHD1
11 64878523 64878609 MIR10392
11 64888458 64893449 MIR194-2HG
11 64891137 64891246 MIR192
11 64891355 64891439 MIR194-2
11 64898363 64898437 MIR6750
11 64902387 64902455 MIR6749
11 64987945 64996971 BATF2
11 65014160 65040572 ARL2-SNX15
11 65014160 65022184 ARL2
11 65018505 65018570 MIR6879
11 65027439 65040572 SNX15
11 65040933 65044828 SAC3D1
11 65084222 65088398 ZFPL1
11 65088376 65089110 TMEM262
11 65096214 65111862 VPS51
11 65111872 65116230 TM7SF2
11 65116403 65117701 ZNHIT2
11 65120630 65122134 FAU
11 65122183 65127371 MRPL49
11 65129916 65129978 MIR6751
11 65179871 65181834 CAPN1-AS1
11 65354751 65357613 TIGD3
11 65375192 65383701 SLC25A45
11 65422798 65445540 NEAT1
11 65444458 65444557 MIR612
11 65476777 65477487 ENEMAL
11 65486908 65488086 LINC02736
11 65497738 65506516 MALAT1
11 65499312 65507432 TALAM1
11 65506117 65506174 MASCRNA
11 65538559 65558359 LTBP3
11 65569220 65570413 ZNRD2-DT
11 65570477 65571888 ZNRD2
11 65572538 65574190 FAM89B
11 65592836 65595800 KCNK7
11 65636310 65636369 MIR4690
11 65649192 65649253 MIR4489
11 65663006 65671718 RELA-DT
11 65717673 65720798 RNASEH2C
11 65773898 65780976 AP5B1
11 65787063 65797214 OVOL1
11 65789001 65790868 OVOL1-AS1
11 65833963 65853701 SNX32
11 65854673 65858180 CFL1
11 65866441 65872800 EFEMP2
11 65879837 65883741 CTSW
11 65883740 65888471 FIBP
11 65890673 65891635 CCDC85B
11 65892049 65900545 FOSL1
11 65916810 65919062 C11orf68
11 65919426 65921563 DRAP1
11 66012008 66013505 CST6
11 66053144 66053228 SNORD13F
11 66259567 66265686 KLC2-AS1
11 66267549 66268411 KLC2-AS2
11 66268639 66277492 RAB1B
11 66284580 66289143 YIF1A
11 66291894 66296664 TMEM151A
11 66314494 66317044 CD248
11 66345374 66347629 B4GAT1
11 66347991 66363764 B4GAT1-DT
11 66473490 66480249 DPP3-DT
11 66480434 66509657 DPP3
11 66510635 66533598 BBS1
11 66546395 66563334 ACTN3
11 66590176 66593063 CCDC87
11 66593185 66606019 CCS
11 66616630 66646468 RBM14-RBM4
11 66616630 66629934 RBM14
11 66638703 66668380 RBM4
11 66744736 66843516 TOP6BL
11 66843441 66846552 RCE1
11 66857064 66860475 LRFN4
11 66934434 66934506 MIR3163
11 66975304 66977009 C11orf86
11 67045643 67045708 MIR6860
11 67056847 67072017 RHOD
11 67112292 67118348 LOC107984341
11 67317839 67391687 LOC100130987
11 67350765 67353596 POLD4
11 67364168 67374177 CLCF1
11 67398183 67401858 PPP1CA
11 67415678 67425604 CARNS1
11 67435510 67443809 CORO1B
11 67435510 67437682 PTPRCAP
11 67451301 67452729 GPR152
11 67483026 67491103 AIP
11 67490245 67490315 MIR6752
11 67506497 67508162 CDK2AP2
11 67518912 67523446 CABP2
11 67583812 67586653 GSTP1
11 67602880 67606706 NDUFV1-DT
11 67606936 67612554 NDUFV1
11 67627938 67629937 NUDT8
11 67884428 67894096 LINC02754
11 68008547 68029276 ALDH3B1
11 68030681 68036644 NDUFS8
11 68032864 68032922 MIR7113
11 68033897 68033981 MIR4691
11 68044794 68044957 MIR6753
11 68121888 68130515 CHKA-DT
11 68684544 68691175 GAL
11 68980021 68980986 MRGPRD
11 69012354 69018447 MRGPRF-AS1
11 69048932 69090597 TPCN2
11 69083176 69083258 MIR3164
11 69147228 69171562 LOC338694
11 69155573 69162440 SMIM38
11 69228749 69234934 LOC105369367
11 69425655 69429624 LINC02953
11 69435557 69444966 LINC02952
11 69475604 69481579 LINC02747
11 69481663 69493210 LINC01488
11 69641156 69654474 CCND1
11 69698238 69704022 FGF19
11 69771022 69775341 FGF4
11 69809968 69819416 FGF3
11 70056230 70065371 LINC02753
11 70072434 70075348 LINC02584
11 70203296 70207390 FADD
11 70283955 70284070 MIR548K
11 70324808 70327254 LOC105369373
11 70362644 70398462 CTTN-DT
11 70626564 70635490 SHANK2-AS1
11 70862790 70865115 SHANK2-AS3
11 70872270 70872368 MIR3664
11 71405746 71423354 ACTE1P
11 71448528 71452157 DHCR7-DT
11 71453203 71501816 NADSYN1
11 71473503 71473568 MIR6754
11 71527267 71528669 KRTAP5-7
11 71538025 71539209 KRTAP5-8
11 71548420 71549608 KRTAP5-9
11 71565563 71566735 KRTAP5-10
11 71581855 71582875 KRTAP5-11
11 71804981 71928594 XNDC1N-ZNF705EP-ALG1L9P
11 71833200 71837710 DEFB108B
11 71865509 71928594 XNDC1N
11 71878453 71884561 DEFB131B
11 72014291 72020910 LOC100128494
11 72072228 72072302 MIR3165
11 72080850 72110782 LRTOMT
11 72080850 72096895 LRRC51
11 72097292 72103297 LAMTOR1
11 72105924 72109596 TOMT
11 72135725 72139892 FOLR3
11 72189709 72196323 FOLR1
11 72570656 72573222 LINC01537
11 72615063 72615130 MIR139
11 72685069 72752408 ARAP1
11 72700474 72705607 ARAP1-AS2
11 72754729 72794047 STARD10
11 72783530 72783592 MIR4692
11 73218281 73242427 P2RY2
11 73307511 73309361 ARHGEF17-AS1
11 73308276 73369388 ARHGEF17
11 73675638 73761074 RAB6A
11 73974672 73983202 UCP2
11 74012718 74171002 C2CD3
11 74311362 74324705 P4HA3-AS1
11 74399237 74399333 MIR548AL
11 74490519 74493724 LIPT2
11 74493380 74498533 LIPT2-AS1
11 74696429 74731426 CHRDL2
11 74720268 74720337 MIR4696
11 74949266 74979033 SPCS2
11 75081753 75096890 OR2AT4
11 75240774 75243704 TPBGL
11 75335092 75335186 MIR326
11 75399518 75422302 RPS3
11 75400391 75400538 SNORD15A
11 75404421 75404566 SNORD15B
11 75422394 75433203 KLHL35
11 75583196 75594665 LOC105369391
11 75758455 75768647 DGAT2-DT
11 75813514 75814797 UVRAG-DT
11 76349956 76381132 THAP12
11 76433925 76444680 EMSY-DT
11 76607357 76630422 LINC02757
11 76782581 76783062 TSKU-AS1
11 77034398 77041973 B3GNT6
11 77102840 77103331 OMP
11 77571089 77575662 LINC03030
11 77589953 77610356 AQP11
11 77614530 77637794 CLNS1A
11 77738169 77739709 RSF1-IT1
11 78015715 78079862 NDUFC2-KCTD14
11 78015715 78046191 KCTD14
11 78063861 78068351 THRSP
11 78068297 78079862 NDUFC2
11 78139793 78173977 KCTD21-AS1
11 78423982 78429836 LINC02728
11 78533176 78558565 LOC101928896
11 79402022 79402109 MIR708
11 79422169 79422226 MIR5579
11 80751200 80762803 LINC02720
11 81879851 82403913 MIR4300HG
11 81890741 81890836 MIR4300
11 82729940 82733864 FAM181B
11 82781502 82817741 LINC02734
11 82973133 83071897 RAB30
11 83041464 83041598 SNORA70E
11 83072066 83073712 RAB30-DT
11 83072402 83097196 LINC02951
11 83184491 83193669 ANKRD42-DT
11 83185521 83187484 PCF11-AS1
11 83193712 83256099 ANKRD42
11 83286120 83426389 CCDC90B-AS1
11 83637693 83725390 DLG2-AS2
11 85628573 85636540 TMEM126B
11 85647967 85656542 TMEM126A
11 85683848 85686195 CCDC89
11 86278333 86278398 MIR6755
11 86374887 86423106 CCDC81
11 86791071 86952910 PRSS23
11 86888347 86938485 PRSS23-AS1
11 86945679 86955395 FZD4
11 86955621 87000950 FZD4-DT
11 87718354 87719411 LINC02711
11 88176502 88176593 MIR3166
11 88293592 88337736 CTSC
11 88337884 88428192 LOC101929174
11 88504576 88524054 GRM5-AS1
11 89710299 89717872 TRIM77
11 89911409 89922245 TRIM49D1
11 89924064 89933063 TRIM49D2
11 89966037 89974072 TRIM64
11 90085950 90087131 UBTFL1
11 90251232 90915052 DISC1FP1
11 90555774 90555857 MIR4490
11 90869121 90869202 MIR1261
11 91157991 91228446 LINC02748
11 91794322 91872486 LINC02756
11 92913238 92915628 LINC02746
11 93721514 93721866 SCARNA9
11 93730194 93741495 TAF1D
11 93730513 93730646 SNORA25
11 93730979 93731099 SNORA32
11 93731503 93731573 SNORD6
11 93732004 93732133 SNORA1
11 93732361 93732499 SNORA8
11 93733228 93733300 SNORD5
11 93733466 93733597 SNORA18
11 93733674 93733764 MIR1304
11 93735110 93735236 SNORA40
11 93784282 93814963 MED17
11 94021354 94114208 HEPHL1
11 94304580 94308146 IZUMO1R
11 94377316 94401419 GPR83
11 94466495 94466580 MIR548L
11 94512461 94532123 C11orf97
11 94543921 94549895 FUT4
11 94545332 94740355 PIWIL4-AS1
11 94567368 94621421 PIWIL4
11 94638043 94657468 LINC02700
11 94962620 94973556 CWC15
11 94973709 94999519 KDM4D
11 95025258 95027596 KDM4E
11 95049422 95051338 KDM4F
11 95066877 95071225 SRSF8
11 95089846 95132645 ENDOD1
11 95150539 95159148 LNCRNA-IUR
11 95230186 95234404 LOC100129203
11 96341438 96341526 MIR1260B
11 96390013 96393561 JRKL
11 96443281 96506876 JRKL-AS1
11 96508425 96514750 LINC02737
11 97878781 97957083 LINC02713
11 100684161 100687955 ARHGAP42-AS1
11 100934274 100934378 SNORD13I
11 101129077 101159270 PGR-AS1
11 101519820 101519905 MIR3920
11 101915010 102001062 CEP126
11 102317484 102339403 BIRC3
11 102347214 102378670 BIRC2
11 102396332 102452765 TMEM123
11 102452919 102462038 TMEM123-DT
11 102467255 102498801 LOC102723838
11 102520508 102530747 MMP7
11 102576832 102625332 MMP20
11 102641124 102687212 MMP20-AS1
11 102770502 102780628 MMP10
11 102789919 102798160 MMP1
11 102835801 102843609 MMP3
11 102862736 102874982 MMP12
11 102942995 102955732 MMP13
11 103050686 103092160 DCUN1D5
11 103849906 103849980 MIR4693
11 103907189 104164147 PDGFD
11 104036640 104039196 DDI1
11 104568489 104609302 LINC02552
11 104994243 105023168 CASP5
11 105041563 105045335 CARD16
11 105137714 105139769 CARD18
11 106077662 106098695 AASDHPPT
11 106112459 106132116 LINC02719
11 106250019 106264905 LOC101928535
11 106674019 107018476 GUCY1A2
11 107591147 107666779 ELMOD1
11 107707378 107712056 SLN
11 107928448 107963482 RAB39A
11 108116705 108147603 ACAT1
11 108665069 108940927 DDX10
11 109741625 109823873 LINC02715
11 110093392 110171841 ZC3H12C
11 110355114 110406908 LINC02732
11 111091932 111097318 LINC02550
11 111293389 111305048 COLCA1
11 111347757 111347824 MIR4491
11 111414242 111418186 LOC100132078
11 111510602 111513888 MIR34BHG
11 111512938 111513021 MIR34B
11 111513439 111513515 MIR34C
11 111514778 111537043 HOATZ
11 111874056 111879165 FDXACB1
11 111908564 111923740 CRYAB
11 111912734 111914093 HSPB2
11 111912736 111926871 HSPB2-C11orf52
11 111918913 111926871 C11orf52
11 112025408 112064404 DLAT
11 112084800 112086756 TIMM8B
11 112086873 112095794 SDHD
11 112167372 112172556 TEX12
11 112175512 112218946 BCO2
11 112226428 112233973 PTS
11 112248153 112260860 PLET1
11 112260265 112261396 LOC100132686
11 112270749 112362534 LINC02762
11 112482232 112541916 LINC02763
11 112534220 112555802 LINC02764
11 112959279 112963460 LOC101928847
11 112961420 113278436 NCAM1
11 113269532 113273901 NCAM1-AS1
11 113278437 113314456 TTC12-DT
11 113314583 113373297 TTC12
11 113450023 113450088 MIR4301
11 113687550 113706308 TMPRSS5
11 113779796 113780485 CLDN25
11 113797875 113875572 USP28
11 113975108 113990313 HTR3A
11 114257806 114313536 NNMT
11 114360635 114380039 LOC101928940
11 114391443 114400511 C11orf71
11 114400666 114410607 RBM7
11 114439467 114450279 REXO2
11 115333577 115340439 LOC105369509
11 115396756 115397658 CADM1-AS1
11 115731945 115734762 LOC101928985
11 115755331 115760200 LINC00900
11 115919636 115943338 LINC02703
11 116496899 116500683 LINC02151
11 116639422 116658252 LINC02702
11 116773471 116774205 BUD13-DT
11 116789367 116792420 APOA5
11 116820700 116823304 APOA4
11 116829907 116833072 APOC3
11 116836117 116855729 APOA1-AS
11 117178743 117197442 SIDT2
11 117195613 117201914 LOC100652768
11 117199294 117207465 TAGLN
11 117232671 117286454 RNF214
11 117285698 117316256 BACE1
11 117291346 117292170 BACE1-AS
11 117820057 117876658 FXYD6-FXYD2
11 117820057 117828089 FXYD2
11 117833718 117838319 FXYD6-AS1
11 117836981 117877430 FXYD6
11 117900641 117929402 TMPRSS13
11 118133377 118152823 SCN4B
11 118162806 118176639 SCN2B
11 118193725 118225011 JAML
11 118304730 118316173 CD3E
11 118338954 118342705 CD3D
11 118359600 118399211 UBE4A
11 118381220 118418815 LOC100131626
11 118401606 118409847 ATP5MG
11 118511918 118531094 TTC36-AS1
11 118527474 118530993 TTC36
11 118644000 118644079 MIR6716
11 118657316 118679650 TREH
11 118883892 118897787 CXCR5
11 118910708 118910787 MIR4492
11 118956298 118958559 UPK2
11 118996801 118998002 CENATAC-DT
11 118998138 119015793 CENATAC
11 119015717 119018343 RPS25
11 119024112 119030877 SLC37A4
11 119044188 119045493 HYOU1-AS1
11 119093874 119095465 H2AX
11 119190254 119195841 CCDC153
11 119190567 119190641 SNORD150
11 119206339 119308149 CBL
11 119312950 119313012 MIR6756
11 119334527 119337309 RNF26
11 119338942 119346705 MFRP
11 119338942 119346705 C1QTNF5
11 119381778 119499233 USP2-AS1
11 119415476 119424985 THY1
11 119638098 119729200 NECTIN1
11 119709920 119713925 NECTIN1-AS1
11 119729583 119739623 NECTIN1-DT
11 119987952 119994730 LINC02744
11 120168977 120171681 LOC107984399
11 120211032 120230334 OAF
11 120249759 120265932 LOC649133
11 120325299 120333686 TLCD5
11 120811345 120819115 LOC105369532
11 120867933 120894797 LOC101929227
11 120940554 120958039 LOC101929208
11 121024102 121191490 TBCEL-TECTA
11 121024102 121090776 TBCEL
11 121101243 121191490 TECTA
11 121292771 121313410 SC5D
11 121438158 121452967 SORL1-AS1
11 121452314 121633763 SORL1
11 121473147 121480661 LOC105369535
11 122028329 122422871 MIR100HG
11 122099757 122099844 MIR125B1
11 122115340 122116215 BLID
11 122146522 122146593 MIRLET7A2
11 122152103 122152156 MIR10526
11 122152229 122152308 MIR100
11 122882759 122963862 JHY
11 122977570 122981834 BSX
11 123058077 123058156 SNORD14E
11 123058909 123058995 SNORD14D
11 123059335 123059422 SNORD14C
11 123069872 123195248 CLMP
11 123313674 123314831 LINC02727
11 123381440 123381512 MIR4493
11 123753580 123754518 OR6X1
11 123805408 123806349 OR6M1
11 123902167 123909229 OR8D4
11 123939617 123940573 OR4D5
11 123942867 123943838 OR6T1
11 123976661 123977781 OR10S1
11 123994163 123995161 OR10G6
11 124012997 124018732 OR10G4
11 124023013 124023948 OR10G9
11 124026798 124030634 OR10G8
11 124036013 124041325 OR10G7
11 124183345 124188780 OR10D3
11 124211707 124215828 OR8G3P
11 124241095 124254364 OR8G1
11 124256376 124266224 OR8G5
11 124302831 124313949 OR8D1
11 124319262 124320197 OR8D2
11 124423942 124424871 OR8B4
